You have specified --do_online_eval.
This will evaluate the model every eval_freq 500 steps and save best models for individual eval metrics.
Use GPU: 0 for training
Fixing first conv layer
Total number of parameters: 47000688
Total number of learning parameters: 46766640
Model Initialized on GPU: 0
Initial variables' sum: -4448.021, avg: -19.595
[epoch][s/s_per_e/gs]: [0][116/3029/116], lr: 0.000099937957, loss: 3.075046300888
[epoch][s/s_per_e/gs]: [0][117/3029/117], lr: 0.000099937422, loss: 2.882648706436
[epoch][s/s_per_e/gs]: [0][118/3029/118], lr: 0.000099936888, loss: 2.377531290054
[epoch][s/s_per_e/gs]: [0][119/3029/119], lr: 0.000099936353, loss: 2.126473665237
[epoch][s/s_per_e/gs]: [0][120/3029/120], lr: 0.000099935818, loss: 2.149127244949
[epoch][s/s_per_e/gs]: [0][121/3029/121], lr: 0.000099935283, loss: 2.070304393768
[epoch][s/s_per_e/gs]: [0][122/3029/122], lr: 0.000099934748, loss: 1.938188076019
[epoch][s/s_per_e/gs]: [0][123/3029/123], lr: 0.000099934213, loss: 2.506266593933
[epoch][s/s_per_e/gs]: [0][124/3029/124], lr: 0.000099933678, loss: 2.689276695251
[epoch][s/s_per_e/gs]: [0][125/3029/125], lr: 0.000099933143, loss: 2.502053260803
[epoch][s/s_per_e/gs]: [0][126/3029/126], lr: 0.000099932609, loss: 2.647329568863
[epoch][s/s_per_e/gs]: [0][127/3029/127], lr: 0.000099932074, loss: 3.449487447739
[epoch][s/s_per_e/gs]: [0][128/3029/128], lr: 0.000099931539, loss: 2.990054130554
[epoch][s/s_per_e/gs]: [0][129/3029/129], lr: 0.000099931004, loss: 2.567022800446
[epoch][s/s_per_e/gs]: [0][130/3029/130], lr: 0.000099930469, loss: 2.083185434341
[epoch][s/s_per_e/gs]: [0][131/3029/131], lr: 0.000099929934, loss: 2.544967889786
[epoch][s/s_per_e/gs]: [0][132/3029/132], lr: 0.000099929399, loss: 3.276787042618
[epoch][s/s_per_e/gs]: [0][133/3029/133], lr: 0.000099928864, loss: 2.401212692261
[epoch][s/s_per_e/gs]: [0][134/3029/134], lr: 0.000099928330, loss: 3.246427059174
[epoch][s/s_per_e/gs]: [0][135/3029/135], lr: 0.000099927795, loss: 2.791736364365
[epoch][s/s_per_e/gs]: [0][136/3029/136], lr: 0.000099927260, loss: 2.093363761902
[epoch][s/s_per_e/gs]: [0][137/3029/137], lr: 0.000099926725, loss: 3.345715761185
[epoch][s/s_per_e/gs]: [0][138/3029/138], lr: 0.000099926190, loss: 2.220856189728
[epoch][s/s_per_e/gs]: [0][139/3029/139], lr: 0.000099925655, loss: 3.029865741730
[epoch][s/s_per_e/gs]: [0][140/3029/140], lr: 0.000099925120, loss: 2.022111415863
[epoch][s/s_per_e/gs]: [0][141/3029/141], lr: 0.000099924585, loss: 2.573229074478
[epoch][s/s_per_e/gs]: [0][142/3029/142], lr: 0.000099924051, loss: 3.401882648468
[epoch][s/s_per_e/gs]: [0][143/3029/143], lr: 0.000099923516, loss: 2.871192932129
[epoch][s/s_per_e/gs]: [0][144/3029/144], lr: 0.000099922981, loss: 3.628144741058
[epoch][s/s_per_e/gs]: [0][145/3029/145], lr: 0.000099922446, loss: 2.620236635208
[epoch][s/s_per_e/gs]: [0][146/3029/146], lr: 0.000099921911, loss: 2.643916606903
[epoch][s/s_per_e/gs]: [0][147/3029/147], lr: 0.000099921376, loss: 3.576324939728
[epoch][s/s_per_e/gs]: [0][148/3029/148], lr: 0.000099920841, loss: 3.176187038422
[epoch][s/s_per_e/gs]: [0][149/3029/149], lr: 0.000099920306, loss: 2.480101346970
[epoch][s/s_per_e/gs]: [0][150/3029/150], lr: 0.000099919772, loss: 2.298364877701
[epoch][s/s_per_e/gs]: [0][151/3029/151], lr: 0.000099919237, loss: 2.402853727341
[epoch][s/s_per_e/gs]: [0][152/3029/152], lr: 0.000099918702, loss: 2.644674777985
[epoch][s/s_per_e/gs]: [0][153/3029/153], lr: 0.000099918167, loss: 1.920056223869
[epoch][s/s_per_e/gs]: [0][154/3029/154], lr: 0.000099917632, loss: 2.448270082474
[epoch][s/s_per_e/gs]: [0][155/3029/155], lr: 0.000099917097, loss: 3.177673816681
[epoch][s/s_per_e/gs]: [0][156/3029/156], lr: 0.000099916562, loss: 2.188488960266
[epoch][s/s_per_e/gs]: [0][157/3029/157], lr: 0.000099916027, loss: 2.441754102707
[epoch][s/s_per_e/gs]: [0][158/3029/158], lr: 0.000099915492, loss: 2.091130256653
[epoch][s/s_per_e/gs]: [0][159/3029/159], lr: 0.000099914958, loss: 2.585522174835
[epoch][s/s_per_e/gs]: [0][160/3029/160], lr: 0.000099914423, loss: 2.471792936325
[epoch][s/s_per_e/gs]: [0][161/3029/161], lr: 0.000099913888, loss: 3.191338062286
[epoch][s/s_per_e/gs]: [0][162/3029/162], lr: 0.000099913353, loss: 2.276693344116
[epoch][s/s_per_e/gs]: [0][163/3029/163], lr: 0.000099912818, loss: 2.149539709091
[epoch][s/s_per_e/gs]: [0][164/3029/164], lr: 0.000099912283, loss: 2.537523746490
[epoch][s/s_per_e/gs]: [0][165/3029/165], lr: 0.000099911748, loss: 2.309007406235
[epoch][s/s_per_e/gs]: [0][166/3029/166], lr: 0.000099911213, loss: 2.743952035904
[epoch][s/s_per_e/gs]: [0][167/3029/167], lr: 0.000099910678, loss: 2.435142517090
[epoch][s/s_per_e/gs]: [0][168/3029/168], lr: 0.000099910144, loss: 2.520575523376
[epoch][s/s_per_e/gs]: [0][169/3029/169], lr: 0.000099909609, loss: 2.141233921051
[epoch][s/s_per_e/gs]: [0][170/3029/170], lr: 0.000099909074, loss: 2.569553613663
[epoch][s/s_per_e/gs]: [0][171/3029/171], lr: 0.000099908539, loss: 2.143066644669
[epoch][s/s_per_e/gs]: [0][172/3029/172], lr: 0.000099908004, loss: 2.301346778870
[epoch][s/s_per_e/gs]: [0][173/3029/173], lr: 0.000099907469, loss: 2.917628526688
[epoch][s/s_per_e/gs]: [0][174/3029/174], lr: 0.000099906934, loss: 2.281936883926
[epoch][s/s_per_e/gs]: [0][175/3029/175], lr: 0.000099906399, loss: 2.637804508209
