nohup: ignoring input
mkdir: cannot create directory ‘./models//bts_nyu_v2_pytorch_FAM_without_skip’: File exists
You have specified --do_online_eval.
This will evaluate the model every eval_freq 500 steps and save best models for individual eval metrics.
Use GPU: 0 for training
Fixing first conv layer
Total number of parameters: 47000688
Total number of learning parameters: 46766640
Model Initialized on GPU: 0
Initial variables' sum: -4501.829, avg: -19.832
[epoch][s/s_per_e/gs]: [0][254/3029/254], lr: 0.000099864142, loss: 2.512113094330
[epoch][s/s_per_e/gs]: [0][255/3029/255], lr: 0.000099863607, loss: 2.446981906891
[epoch][s/s_per_e/gs]: [0][256/3029/256], lr: 0.000099863072, loss: 2.092810153961
[epoch][s/s_per_e/gs]: [0][257/3029/257], lr: 0.000099862537, loss: 2.106898784637
[epoch][s/s_per_e/gs]: [0][258/3029/258], lr: 0.000099862002, loss: 3.040059804916
[epoch][s/s_per_e/gs]: [0][259/3029/259], lr: 0.000099861467, loss: 1.833072185516
[epoch][s/s_per_e/gs]: [0][260/3029/260], lr: 0.000099860932, loss: 2.050689935684
[epoch][s/s_per_e/gs]: [0][261/3029/261], lr: 0.000099860397, loss: 2.111027956009
[epoch][s/s_per_e/gs]: [0][262/3029/262], lr: 0.000099859862, loss: 2.081685304642
[epoch][s/s_per_e/gs]: [0][263/3029/263], lr: 0.000099859327, loss: 2.581201791763
[epoch][s/s_per_e/gs]: [0][264/3029/264], lr: 0.000099858793, loss: 2.119475841522
[epoch][s/s_per_e/gs]: [0][265/3029/265], lr: 0.000099858258, loss: 1.880337119102
